Index,Timestamp,Activity,LogNumber,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ
1,1756981988.2418,defaultActivity,0,1.179159,1.649492,2.215331,358.448800,179.753200,2.127226,0.915508,0.848193,2.202126,359.577500,196.493900,13.139240,1.502158,0.848456,2.169152,9.573407,173.285100,330.439600
2,1756981988.3354,defaultActivity,0,1.166704,1.649394,2.227715,358.482800,192.486900,1.121169,0.987533,0.810943,2.211306,8.996715,132.771800,28.030670,1.401176,0.805906,2.167410,17.025010,243.486800,321.505700
3,1756981988.3634,defaultActivity,0,1.166676,1.649431,2.227569,358.667600,192.928800,1.213701,0.985928,0.810370,2.211530,9.046701,134.787400,28.159570,1.405455,0.803989,2.169457,18.554790,243.555400,321.450800
4,1756981988.4054,defaultActivity,0,1.167083,1.649052,2.227143,359.179100,193.985700,1.340450,0.983602,0.809379,2.213719,10.086710,142.934700,25.298440,1.414851,0.798951,2.177715,21.298740,244.730500,322.185400
5,1756981988.4065,defaultActivity,0,1.167083,1.649052,2.227143,359.179100,193.985700,1.340450,0.983602,0.809379,2.213719,10.086710,142.934700,25.298440,1.414851,0.798951,2.177715,21.298740,244.730500,322.185400
6,1756981988.4380,defaultActivity,0,1.167764,1.648198,2.226396,359.166700,193.953900,1.573156,0.984398,0.808579,2.217232,9.457795,145.815300,24.239390,1.416061,0.797515,2.184343,22.099160,245.547500,323.644700
7,1756981988.4393,defaultActivity,0,1.167764,1.648198,2.226396,359.166700,193.953900,1.573156,0.984398,0.808579,2.217232,9.457795,145.815300,24.239390,1.416061,0.797515,2.184343,22.099160,245.547500,323.644700
8,1756981988.4752,defaultActivity,0,1.170030,1.647307,2.224730,0.324223,193.103400,1.373970,0.985540,0.806899,2.220857,9.755151,146.550900,23.762420,1.412048,0.797635,2.187683,20.839970,235.110700,326.731300
9,1756981988.4764,defaultActivity,0,1.170030,1.647307,2.224730,0.324223,193.103400,1.373970,0.985540,0.806899,2.220857,9.755151,146.550900,23.762420,1.412048,0.797635,2.187683,20.839970,235.110700,326.731300
10,1756981988.5161,defaultActivity,0,1.170797,1.647973,2.222856,359.288000,192.514000,1.366525,0.987139,0.806362,2.222869,9.452424,148.016500,23.659620,1.409225,0.797008,2.192295,19.393410,229.877300,325.144300
11,1756981988.5173,defaultActivity,0,1.170797,1.647973,2.222856,359.288000,192.514000,1.366525,0.987139,0.806362,2.222869,9.452424,148.016500,23.659620,1.409225,0.797008,2.192295,19.393410,229.877300,325.144300
12,1756981988.5486,defaultActivity,0,1.171097,1.646641,2.222297,359.307400,192.401700,1.380404,0.988403,0.807443,2.221178,7.505294,154.392000,20.267520,1.408517,0.796326,2.194407,19.463930,226.565200,325.066600
13,1756981988.5866,defaultActivity,0,1.171347,1.647962,2.220793,0.385369,192.442400,1.158915,0.989852,0.807735,2.216961,6.317728,161.940100,18.287130,1.408911,0.795263,2.194965,19.444730,224.288900,326.026100
14,1756981988.5879,defaultActivity,0,1.171347,1.647962,2.220793,0.385369,192.442400,1.158915,0.989852,0.807735,2.216961,6.317728,161.940100,18.287130,1.408911,0.795263,2.194965,19.444730,224.288900,326.026100
15,1756981988.6281,defaultActivity,0,1.170760,1.646378,2.219306,358.452900,192.894500,0.838885,0.989902,0.808736,2.211709,7.107349,167.079500,16.759130,1.410282,0.795203,2.193577,20.579650,224.355500,328.026700
16,1756981988.6294,defaultActivity,0,1.170760,1.646378,2.219306,358.452900,192.894500,0.838885,0.989902,0.808736,2.211709,7.107349,167.079500,16.759130,1.410282,0.795203,2.193577,20.579650,224.355500,328.026700
17,1756981988.6611,defaultActivity,0,1.170992,1.646165,2.220375,359.558100,192.876200,0.662832,0.989477,0.808913,2.207979,7.815020,168.429200,16.297060,1.411512,0.795456,2.190573,21.510600,226.988300,328.885200
18,1756981988.6626,defaultActivity,0,1.170992,1.646165,2.220375,359.558100,192.876200,0.662832,0.989477,0.808913,2.207979,7.815020,168.429200,16.297060,1.411512,0.795456,2.190573,21.510600,226.988300,328.885200
19,1756981988.6992,defaultActivity,0,1.170946,1.646784,2.219456,359.512200,193.221100,1.028170,0.988307,0.809745,2.203563,7.321989,165.557800,18.811250,1.411844,0.796610,2.185745,21.786710,230.946300,327.910800
20,1756981988.7005,defaultActivity,0,1.170946,1.646784,2.219456,359.512200,193.221100,1.028170,0.988307,0.809745,2.203563,7.321989,165.557800,18.811250,1.411844,0.796610,2.185745,21.786710,230.946300,327.910800
21,1756981988.7392,defaultActivity,0,1.171015,1.647533,2.219182,359.142300,193.489700,1.115110,0.988073,0.811505,2.198579,6.152061,161.909700,20.646290,1.410368,0.799042,2.180145,23.530970,235.052700,325.970600
22,1756981988.7405,defaultActivity,0,1.171015,1.647533,2.219182,359.142300,193.489700,1.115110,0.988073,0.811505,2.198579,6.152061,161.909700,20.646290,1.410368,0.799042,2.180145,23.530970,235.052700,325.970600
23,1756981988.7721,defaultActivity,0,1.171178,1.647932,2.218878,358.935300,193.603200,1.204145,0.988979,0.813486,2.192546,4.970130,162.440600,19.151820,1.408296,0.800017,2.175301,23.247400,239.284300,324.346100
24,1756981988.8089,defaultActivity,0,1.171659,1.646688,2.219087,0.474125,193.538500,1.330297,0.990843,0.814328,2.187812,3.837218,163.429400,19.148790,1.406000,0.800514,2.172098,23.228580,242.519700,324.631200
25,1756981988.8100,defaultActivity,0,1.171659,1.646688,2.219087,0.474125,193.538500,1.330297,0.990843,0.814328,2.187812,3.837218,163.429400,19.148790,1.406000,0.800514,2.172098,23.228580,242.519700,324.631200
26,1756981988.8507,defaultActivity,0,1.171416,1.647604,2.217440,359.200100,193.715200,1.340798,0.993705,0.815300,2.183555,3.532570,162.276800,20.319850,1.402048,0.803616,2.168342,21.561160,242.040900,326.765400
27,1756981988.8523,defaultActivity,0,1.171416,1.647604,2.217440,359.200100,193.715200,1.340798,0.993705,0.815300,2.183555,3.532570,162.276800,20.319850,1.402048,0.803616,2.168342,21.561160,242.040900,326.765400
28,1756981988.8877,defaultActivity,0,1.170199,1.647537,2.215029,359.241600,193.936900,1.071443,0.997575,0.817072,2.180856,1.525403,163.011500,17.696670,1.396985,0.804975,2.166003,19.312090,242.761000,330.207500
29,1756981988.8889,defaultActivity,0,1.170199,1.647537,2.215029,359.241600,193.936900,1.071443,0.997575,0.817072,2.180856,1.525403,163.011500,17.696670,1.396985,0.804975,2.166003,19.312090,242.761000,330.207500
30,1756981988.9303,defaultActivity,0,1.169619,1.646107,2.212317,359.497900,194.227700,0.803361,1.002200,0.817500,2.179025,1.729773,165.466200,15.037070,1.391417,0.805835,2.164034,20.398050,240.574200,331.779100
31,1756981988.9314,defaultActivity,0,1.169619,1.646107,2.212317,359.497900,194.227700,0.803361,1.002200,0.817500,2.179025,1.729773,165.466200,15.037070,1.391417,0.805835,2.164034,20.398050,240.574200,331.779100
32,1756981988.9727,defaultActivity,0,1.168656,1.646125,2.210332,359.426600,194.541500,0.429798,1.006990,0.816456,2.180606,2.850184,164.228200,16.339410,1.383379,0.807979,2.161247,16.928910,237.422900,329.609300
33,1756981988.9739,defaultActivity,0,1.168656,1.646125,2.210332,359.426600,194.541500,0.429798,1.006990,0.816456,2.180606,2.850184,164.228200,16.339410,1.383379,0.807979,2.161247,16.928910,237.422900,329.609300
34,1756981989.0183,defaultActivity,0,1.167536,1.644995,2.210665,0.464254,195.233800,0.390377,1.010578,0.817167,2.181705,4.415534,163.737500,14.464720,1.375506,0.812821,2.158831,9.936667,229.810500,334.299700
35,1756981989.0193,defaultActivity,0,1.167536,1.644995,2.210665,0.464254,195.233800,0.390377,1.010578,0.817167,2.181705,4.415534,163.737500,14.464720,1.375506,0.812821,2.158831,9.936667,229.810500,334.299700
36,1756981989.0201,defaultActivity,0,1.167536,1.644995,2.210665,0.464254,195.233800,0.390377,1.010578,0.817167,2.181705,4.415534,163.737500,14.464720,1.375506,0.812821,2.158831,9.936667,229.810500,334.299700
37,1756981989.0648,defaultActivity,0,1.165415,1.643292,2.210367,1.711501,196.133600,0.267142,1.011479,0.817052,2.184099,2.577141,159.291300,15.628380,1.367933,0.813491,2.155564,12.267380,220.598700,337.251100
38,1756981989.0657,defaultActivity,0,1.165415,1.643292,2.210367,1.711501,196.133600,0.267142,1.011479,0.817052,2.184099,2.577141,159.291300,15.628380,1.367933,0.813491,2.155564,12.267380,220.598700,337.251100
39,1756981989.1037,defaultActivity,0,1.163250,1.641483,2.208416,2.343452,196.847700,359.956200,1.011178,0.816085,2.186064,1.482824,154.617800,17.036750,1.364719,0.817146,2.150786,10.827960,215.617800,342.400200
40,1756981989.1044,defaultActivity,0,1.163250,1.641483,2.208416,2.343452,196.847700,359.956200,1.011178,0.816085,2.186064,1.482824,154.617800,17.036750,1.364719,0.817146,2.150786,10.827960,215.617800,342.400200
41,1756981989.1524,defaultActivity,0,1.162413,1.639244,2.206845,3.479234,197.431800,359.287000,1.009593,0.815509,2.186240,2.657858,158.037200,15.878050,1.365082,0.821085,2.143556,9.600885,206.523400,350.179900
42,1756981989.1531,defaultActivity,0,1.162413,1.639244,2.206845,3.479234,197.431800,359.287000,1.009593,0.815509,2.186240,2.657858,158.037200,15.878050,1.365082,0.821085,2.143556,9.600885,206.523400,350.179900
43,1756981989.1977,defaultActivity,0,1.160619,1.635318,2.203803,5.504632,197.122400,359.107700,1.008344,0.815090,2.187276,3.617412,160.325600,16.467830,1.366891,0.822487,2.139698,8.452224,207.150000,349.920200
44,1756981989.1985,defaultActivity,0,1.160619,1.635318,2.203803,5.504632,197.122400,359.107700,1.008344,0.815090,2.187276,3.617412,160.325600,16.467830,1.366891,0.822487,2.139698,8.452224,207.150000,349.920200
45,1756981989.1992,defaultActivity,0,1.160619,1.635318,2.203803,5.504632,197.122400,359.107700,1.008344,0.815090,2.187276,3.617412,160.325600,16.467830,1.366891,0.822487,2.139698,8.452224,207.150000,349.920200
46,1756981989.2432,defaultActivity,0,1.159384,1.631665,2.199232,6.288712,197.028500,358.843400,1.006469,0.814560,2.187787,2.919755,159.347400,17.032680,1.370820,0.823131,2.136150,6.463500,209.890400,348.829300
47,1756981989.2439,defaultActivity,0,1.159384,1.631665,2.199232,6.288712,197.028500,358.843400,1.006469,0.814560,2.187787,2.919755,159.347400,17.032680,1.370820,0.823131,2.136150,6.463500,209.890400,348.829300
48,1756981989.2877,defaultActivity,0,1.158522,1.627127,2.196210,8.738187,196.809200,358.889700,1.002833,0.812314,2.187057,4.302632,161.162300,17.621450,1.374286,0.821041,2.133766,5.205815,214.887500,342.620000
49,1756981989.2886,defaultActivity,0,1.158522,1.627127,2.196210,8.738187,196.809200,358.889700,1.002833,0.812314,2.187057,4.302632,161.162300,17.621450,1.374286,0.821041,2.133766,5.205815,214.887500,342.620000
50,1756981989.3303,defaultActivity,0,1.158273,1.624659,2.193017,10.827850,196.291700,359.440900,1.000771,0.812436,2.188023,3.392514,158.797600,19.429550,1.375526,0.821367,2.129522,7.729139,212.580400,342.484600
51,1756981989.3311,defaultActivity,0,1.158273,1.624659,2.193017,10.827850,196.291700,359.440900,1.000771,0.812436,2.188023,3.392514,158.797600,19.429550,1.375526,0.821367,2.129522,7.729139,212.580400,342.484600
52,1756981989.3732,defaultActivity,0,1.159459,1.620776,2.189697,12.172830,195.272400,359.702400,0.999122,0.811659,2.188131,3.643733,158.188500,18.598320,1.375311,0.822622,2.124754,6.330254,210.201400,345.137100
53,1756981989.3743,defaultActivity,0,1.159459,1.620776,2.189697,12.172830,195.272400,359.702400,0.999122,0.811659,2.188131,3.643733,158.188500,18.598320,1.375311,0.822622,2.124754,6.330254,210.201400,345.137100
54,1756981989.4150,defaultActivity,0,1.160497,1.619204,2.186731,13.169800,194.073500,0.269533,0.998618,0.810349,2.188179,4.256616,158.641600,20.299690,1.375114,0.823115,2.119794,3.519436,205.789700,345.616900
55,1756981989.4158,defaultActivity,0,1.160497,1.619204,2.186731,13.169800,194.073500,0.269533,0.998618,0.810349,2.188179,4.256616,158.641600,20.299690,1.375114,0.823115,2.119794,3.519436,205.789700,345.616900
56,1756981989.4166,defaultActivity,0,1.160497,1.619204,2.186731,13.169800,194.073500,0.269533,0.998618,0.810349,2.188179,4.256616,158.641600,20.299690,1.375114,0.823115,2.119794,3.519436,205.789700,345.616900
57,1756981989.4570,defaultActivity,0,1.162291,1.617646,2.183812,13.428910,192.842100,0.853045,0.999520,0.810703,2.188684,3.384065,160.124800,19.448470,1.373210,0.820422,2.116637,359.568500,202.894100,342.601500
58,1756981989.4580,defaultActivity,0,1.162291,1.617646,2.183812,13.428910,192.842100,0.853045,0.999520,0.810703,2.188684,3.384065,160.124800,19.448470,1.373210,0.820422,2.116637,359.568500,202.894100,342.601500
59,1756981989.4989,defaultActivity,0,1.164704,1.614490,2.180816,14.157730,191.150700,1.266218,1.000473,0.810295,2.189531,3.171065,161.230600,17.863900,1.371522,0.816841,2.116552,354.340300,203.571400,337.098100
60,1756981989.5000,defaultActivity,0,1.164704,1.614490,2.180816,14.157730,191.150700,1.266218,1.000473,0.810295,2.189531,3.171065,161.230600,17.863900,1.371522,0.816841,2.116552,354.340300,203.571400,337.098100
61,1756981989.5410,defaultActivity,0,1.168359,1.609520,2.179717,17.011600,189.126900,1.348072,1.001353,0.808707,2.190378,4.079590,159.728300,19.221030,1.372486,0.821134,2.114458,358.583700,206.757500,340.700000
62,1756981989.5420,defaultActivity,0,1.168359,1.609520,2.179717,17.011600,189.126900,1.348072,1.001353,0.808707,2.190378,4.079590,159.728300,19.221030,1.372486,0.821134,2.114458,358.583700,206.757500,340.700000
63,1756981989.5891,defaultActivity,0,1.171078,1.603762,2.177080,20.171100,187.082900,1.563000,1.001269,0.809126,2.190053,3.051575,159.359300,17.674780,1.370193,0.825306,2.112113,1.291625,205.929200,344.570500
64,1756981989.5900,defaultActivity,0,1.171078,1.603762,2.177080,20.171100,187.082900,1.563000,1.001269,0.809126,2.190053,3.051575,159.359300,17.674780,1.370193,0.825306,2.112113,1.291625,205.929200,344.570500
65,1756981989.6257,defaultActivity,0,1.173254,1.598498,2.172507,22.161320,185.634200,1.479376,1.001090,0.808949,2.189038,3.360291,159.308800,18.571260,1.367701,0.826499,2.111657,2.843799,206.387600,344.268000
66,1756981989.6264,defaultActivity,0,1.173254,1.598498,2.172507,22.161320,185.634200,1.479376,1.001090,0.808949,2.189038,3.360291,159.308800,18.571260,1.367701,0.826499,2.111657,2.843799,206.387600,344.268000
67,1756981989.6645,defaultActivity,0,1.174778,1.593426,2.169227,23.911130,184.840400,1.567548,1.001033,0.809626,2.185859,3.006932,158.826100,19.350780,1.365859,0.829948,2.110792,5.974013,207.813400,346.513800
68,1756981989.6653,defaultActivity,0,1.174778,1.593426,2.169227,23.911130,184.840400,1.567548,1.001033,0.809626,2.185859,3.006932,158.826100,19.350780,1.365859,0.829948,2.110792,5.974013,207.813400,346.513800
69,1756981989.7075,defaultActivity,0,1.176466,1.588121,2.166759,26.348540,184.443900,1.714642,1.000877,0.811862,2.182935,0.847796,161.328700,16.299700,1.363496,0.830817,2.112862,1.922958,206.258800,350.589000
70,1756981989.7081,defaultActivity,0,1.176466,1.588121,2.166759,26.348540,184.443900,1.714642,1.000877,0.811862,2.182935,0.847796,161.328700,16.299700,1.363496,0.830817,2.112862,1.922958,206.258800,350.589000
71,1756981989.7497,defaultActivity,0,1.178960,1.584443,2.164079,28.171350,183.452100,1.335846,1.000299,0.812052,2.180032,0.217108,163.392600,16.436000,1.360136,0.830595,2.113715,1.263595,205.670500,350.255200
72,1756981989.7508,defaultActivity,0,1.178960,1.584443,2.164079,28.171350,183.452100,1.335846,1.000299,0.812052,2.180032,0.217108,163.392600,16.436000,1.360136,0.830595,2.113715,1.263595,205.670500,350.255200
73,1756981989.7927,defaultActivity,0,1.181329,1.581412,2.161114,29.396800,182.454700,1.005944,0.999978,0.812042,2.178543,0.634710,164.291400,17.062210,1.360117,0.829395,2.115850,1.477583,204.152400,349.789400
74,1756981989.7938,defaultActivity,0,1.181329,1.581412,2.161114,29.396800,182.454700,1.005944,0.999978,0.812042,2.178543,0.634710,164.291400,17.062210,1.360117,0.829395,2.115850,1.477583,204.152400,349.789400
75,1756981989.8359,defaultActivity,0,1.183892,1.578167,2.158775,30.421560,181.708200,1.362798,0.999219,0.811382,2.178135,0.262714,164.583200,17.295290,1.359257,0.828286,2.118463,1.544560,203.740000,348.675200
76,1756981989.8366,defaultActivity,0,1.183892,1.578167,2.158775,30.421560,181.708200,1.362798,0.999219,0.811382,2.178135,0.262714,164.583200,17.295290,1.359257,0.828286,2.118463,1.544560,203.740000,348.675200
77,1756981989.8375,defaultActivity,0,1.183892,1.578167,2.158775,30.421560,181.708200,1.362798,0.999219,0.811382,2.178135,0.262714,164.583200,17.295290,1.359257,0.828286,2.118463,1.544560,203.740000,348.675200
78,1756981989.8782,defaultActivity,0,1.186362,1.575058,2.156076,32.071990,181.150600,1.933484,0.998675,0.810247,2.178036,1.457199,163.671900,18.500520,1.360873,0.827447,2.122053,2.597576,202.212700,351.205700
79,1756981989.8790,defaultActivity,0,1.186362,1.575058,2.156076,32.071990,181.150600,1.933484,0.998675,0.810247,2.178036,1.457199,163.671900,18.500520,1.360873,0.827447,2.122053,2.597576,202.212700,351.205700
80,1756981989.9202,defaultActivity,0,1.187908,1.571625,2.152822,32.884560,180.946900,2.460714,0.998028,0.810404,2.177541,1.304648,164.630100,17.212760,1.363343,0.825079,2.125964,2.862383,203.307300,349.496200
81,1756981989.9213,defaultActivity,0,1.187908,1.571625,2.152822,32.884560,180.946900,2.460714,0.998028,0.810404,2.177541,1.304648,164.630100,17.212760,1.363343,0.825079,2.125964,2.862383,203.307300,349.496200
82,1756981989.9626,defaultActivity,0,1.188664,1.566016,2.150928,34.956570,180.925000,2.820385,0.997381,0.810469,2.175355,1.277458,166.590300,16.631040,1.366430,0.822441,2.129395,2.977298,204.033900,348.764800
83,1756981989.9633,defaultActivity,0,1.188664,1.566016,2.150928,34.956570,180.925000,2.820385,0.997381,0.810469,2.175355,1.277458,166.590300,16.631040,1.366430,0.822441,2.129395,2.977298,204.033900,348.764800
84,1756981990.0052,defaultActivity,0,1.189054,1.559702,2.149808,38.144900,181.301500,3.085764,0.998187,0.810254,2.175440,1.863571,165.067300,18.138370,1.369367,0.819790,2.132535,4.803372,203.619800,349.254300
85,1756981990.0059,defaultActivity,0,1.189054,1.559702,2.149808,38.144900,181.301500,3.085764,0.998187,0.810254,2.175440,1.863571,165.067300,18.138370,1.369367,0.819790,2.132535,4.803372,203.619800,349.254300
86,1756981990.0472,defaultActivity,0,1.188419,1.553723,2.147324,40.633660,181.792600,3.248862,0.998711,0.810799,2.174580,0.998348,166.416200,15.758710,1.372245,0.816696,2.134609,6.979970,202.815700,347.471600
87,1756981990.0479,defaultActivity,0,1.188419,1.553723,2.147324,40.633660,181.792600,3.248862,0.998711,0.810799,2.174580,0.998348,166.416200,15.758710,1.372245,0.816696,2.134609,6.979970,202.815700,347.471600
88,1756981990.0895,defaultActivity,0,1.187306,1.545738,2.144388,42.823360,182.424400,3.165841,1.000729,0.810484,2.175232,0.987577,164.572700,15.271740,1.374804,0.815683,2.136836,6.922820,202.427600,347.575300
89,1756981990.0907,defaultActivity,0,1.187306,1.545738,2.144388,42.823360,182.424400,3.165841,1.000729,0.810484,2.175232,0.987577,164.572700,15.271740,1.374804,0.815683,2.136836,6.922820,202.427600,347.575300
90,1756981990.1314,defaultActivity,0,1.185442,1.535543,2.141835,45.351020,182.986100,2.692768,1.002432,0.810294,2.174587,1.909416,164.795700,13.149160,1.377066,0.813754,2.139542,7.177186,204.213200,346.979400
91,1756981990.1325,defaultActivity,0,1.185442,1.535543,2.141835,45.351020,182.986100,2.692768,1.002432,0.810294,2.174587,1.909416,164.795700,13.149160,1.377066,0.813754,2.139542,7.177186,204.213200,346.979400
92,1756981990.1735,defaultActivity,0,1.182891,1.524065,2.141706,49.670150,184.110700,2.363932,1.004695,0.810720,2.174652,2.060563,163.075000,14.477850,1.378369,0.811348,2.142916,9.008410,207.960600,343.822900
93,1756981990.1742,defaultActivity,0,1.182891,1.524065,2.141706,49.670150,184.110700,2.363932,1.004695,0.810720,2.174652,2.060563,163.075000,14.477850,1.378369,0.811348,2.142916,9.008410,207.960600,343.822900
94,1756981990.1748,defaultActivity,0,1.182891,1.524065,2.141706,49.670150,184.110700,2.363932,1.004695,0.810720,2.174652,2.060563,163.075000,14.477850,1.378369,0.811348,2.142916,9.008410,207.960600,343.822900
95,1756981990.2162,defaultActivity,0,1.179494,1.512578,2.138592,53.125030,185.754300,2.930520,1.007021,0.810550,2.174673,1.544385,162.777800,14.434400,1.379533,0.809652,2.146915,10.094440,209.906600,343.252400
96,1756981990.2169,defaultActivity,0,1.179494,1.512578,2.138592,53.125030,185.754300,2.930520,1.007021,0.810550,2.174673,1.544385,162.777800,14.434400,1.379533,0.809652,2.146915,10.094440,209.906600,343.252400
97,1756981990.2584,defaultActivity,0,1.175955,1.506583,2.138461,56.046230,188.179600,4.322882,1.009696,0.809869,2.174472,2.294016,162.239500,15.142490,1.381290,0.806614,2.153595,10.371930,216.654200,340.140400
98,1756981990.2592,defaultActivity,0,1.175955,1.506583,2.138461,56.046230,188.179600,4.322882,1.009696,0.809869,2.174472,2.294016,162.239500,15.142490,1.381290,0.806614,2.153595,10.371930,216.654200,340.140400
99,1756981990.3009,defaultActivity,0,1.172786,1.503869,2.134753,56.516110,190.155100,5.522291,1.011910,0.810111,2.175337,0.761356,162.546700,14.521140,1.383045,0.802276,2.161314,13.970160,223.288200,336.462200
100,1756981990.3017,defaultActivity,0,1.172786,1.503869,2.134753,56.516110,190.155100,5.522291,1.011910,0.810111,2.175337,0.761356,162.546700,14.521140,1.383045,0.802276,2.161314,13.970160,223.288200,336.462200
101,1756981990.3296,defaultActivity,0,1.170712,1.502612,2.133138,56.141160,191.203400,6.360137,1.012946,0.809481,2.177050,0.415794,163.534200,13.497080,1.383120,0.800347,2.166808,14.887630,221.974300,337.075000
102,1756981990.3583,defaultActivity,0,1.169030,1.501114,2.132182,56.157390,192.117000,7.082008,1.014032,0.808204,2.179222,0.966481,163.426700,13.818160,1.382815,0.799002,2.172286,15.008140,218.645000,340.747100
103,1756981990.3592,defaultActivity,0,1.169030,1.501114,2.132182,56.157390,192.117000,7.082008,1.014032,0.808204,2.179222,0.966481,163.426700,13.818160,1.382815,0.799002,2.172286,15.008140,218.645000,340.747100
104,1756981990.3994,defaultActivity,0,1.166749,1.498633,2.131223,56.718060,192.918900,7.465530,1.014772,0.806939,2.182920,0.341166,162.180400,14.669300,1.381988,0.797630,2.179651,16.483670,216.682100,343.868900
105,1756981990.4000,defaultActivity,0,1.166749,1.498633,2.131223,56.718060,192.918900,7.465530,1.014772,0.806939,2.182920,0.341166,162.180400,14.669300,1.381988,0.797630,2.179651,16.483670,216.682100,343.868900
106,1756981990.4273,defaultActivity,0,1.165316,1.496730,2.130602,57.347160,193.101000,7.372852,1.014297,0.805939,2.184375,0.315630,162.727400,13.164460,1.381862,0.797022,2.183364,15.071410,217.026700,344.810400
107,1756981990.4562,defaultActivity,0,1.163569,1.494889,2.129483,57.866750,193.454200,7.383643,1.013911,0.805268,2.184256,0.266894,162.026200,14.459500,1.381742,0.796747,2.182140,14.569840,215.823400,344.766600
108,1756981990.4579,defaultActivity,0,1.163569,1.494889,2.129483,57.866750,193.454200,7.383643,1.013911,0.805268,2.184256,0.266894,162.026200,14.459500,1.381742,0.796747,2.182140,14.569840,215.823400,344.766600
109,1756981990.4836,defaultActivity,0,1.161327,1.493031,2.128312,58.117700,193.997900,7.552544,1.012640,0.805994,2.183510,358.124000,162.828100,14.922800,1.382131,0.797888,2.179930,13.058590,212.594300,344.149200
110,1756981990.5241,defaultActivity,0,1.158300,1.491211,2.127092,58.650890,195.040100,7.958232,1.009933,0.807486,2.179805,356.639100,166.559800,12.236310,1.383699,0.800246,2.175334,8.982639,211.076200,343.588300
111,1756981990.5250,defaultActivity,0,1.158300,1.491211,2.127092,58.650890,195.040100,7.958232,1.009933,0.807486,2.179805,356.639100,166.559800,12.236310,1.383699,0.800246,2.175334,8.982639,211.076200,343.588300
112,1756981990.5532,defaultActivity,0,1.156342,1.490436,2.126451,58.928660,195.841800,8.295926,1.008332,0.808239,2.176902,356.592100,170.099100,11.827950,1.385228,0.801765,2.171484,7.416574,208.971100,344.664900
113,1756981990.5811,defaultActivity,0,1.154126,1.490182,2.126097,59.137350,196.719600,8.685530,1.006423,0.808724,2.174021,356.954200,173.578100,10.889600,1.386569,0.802195,2.167620,8.065978,207.179200,344.956000
114,1756981990.5818,defaultActivity,0,1.154126,1.490182,2.126097,59.137350,196.719600,8.685530,1.006423,0.808724,2.174021,356.954200,173.578100,10.889600,1.386569,0.802195,2.167620,8.065978,207.179200,344.956000
115,1756981990.6089,defaultActivity,0,1.151913,1.490039,2.125408,59.150480,197.757500,9.251764,1.004520,0.809311,2.172026,356.230400,174.913300,11.550540,1.387440,0.802825,2.163117,9.423683,205.156000,344.283400
116,1756981990.6365,defaultActivity,0,1.149526,1.490287,2.124973,58.920520,198.814600,9.751003,1.001656,0.809606,2.171081,354.978800,175.328000,11.642540,1.388506,0.803536,2.159629,9.703868,204.625100,343.512400
117,1756981990.6373,defaultActivity,0,1.149526,1.490287,2.124973,58.920520,198.814600,9.751003,1.001656,0.809606,2.171081,354.978800,175.328000,11.642540,1.388506,0.803536,2.159629,9.703868,204.625100,343.512400
118,1756981990.6646,defaultActivity,0,1.146649,1.491428,2.124440,58.474880,200.293500,10.447020,0.998185,0.809016,2.170820,354.402500,175.421300,12.828130,1.389096,0.804477,2.156804,8.915344,206.037800,343.446900
119,1756981990.6929,defaultActivity,0,1.142951,1.493203,2.123995,57.681340,202.263800,11.397160,0.996355,0.808283,2.172210,354.182200,171.986400,16.049550,1.389741,0.804945,2.154231,8.812371,207.014200,344.678500
120,1756981990.7202,defaultActivity,0,1.138515,1.495401,2.123877,56.688000,204.870700,12.700190,0.993181,0.807495,2.172685,355.626000,172.984500,14.174910,1.389732,0.804758,2.151710,9.635556,207.994100,344.800900
121,1756981990.7210,defaultActivity,0,1.138515,1.495401,2.123877,56.688000,204.870700,12.700190,0.993181,0.807495,2.172685,355.626000,172.984500,14.174910,1.389732,0.804758,2.151710,9.635556,207.994100,344.800900
122,1756981990.7480,defaultActivity,0,1.133470,1.498038,2.124395,55.569740,207.806400,14.151540,0.991913,0.807211,2.173830,355.931600,173.917000,14.518930,1.389489,0.804555,2.149380,10.609810,209.325500,344.003100
123,1756981990.7770,defaultActivity,0,1.127877,1.500770,2.125342,54.186300,211.140700,15.761630,0.990222,0.806238,2.174963,355.932100,173.674700,15.651460,1.388951,0.804432,2.147127,10.956020,210.571800,343.499200
124,1756981990.7780,defaultActivity,0,1.127877,1.500770,2.125342,54.186300,211.140700,15.761630,0.990222,0.806238,2.174963,355.932100,173.674700,15.651460,1.388951,0.804432,2.147127,10.956020,210.571800,343.499200
125,1756981990.8040,defaultActivity,0,1.122199,1.503983,2.126299,52.603290,214.439000,17.255710,0.988754,0.805224,2.175874,356.673000,173.516500,16.779150,1.387565,0.804420,2.144703,10.788010,212.025700,342.952400
126,1756981990.8324,defaultActivity,0,1.116581,1.507746,2.127748,50.996780,217.799800,18.605220,0.987660,0.805972,2.176810,357.038200,173.651200,16.386750,1.386141,0.804739,2.142540,10.692320,213.194100,343.193500
127,1756981990.8605,defaultActivity,0,1.111588,1.511349,2.129691,49.437500,220.452800,19.598330,0.987128,0.806589,2.178059,355.757800,174.365100,15.488780,1.383867,0.804685,2.140365,10.748510,214.369600,342.907400
