Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,pilotActivity,0.65,robust,1,3
xxx,pilotActivity,0.65,robust,1,2
slasto,pilotActivity,0.65,robust,1,2
minestra,pilotActivity,0.65,robust,1,3
dan,pilotActivity,0.65,robust,1,4
pabluccio,pilotActivity,0.65,robust,1,1
Pa0l0l0,pilotActivity,0.65,robust,1,2
peppe,pilotActivity,0.65,robust,1,2
bigw,pilotActivity,0.65,robust,1,1
qwe,pilotActivity,0.65,robust,1,2
ocran,pilotActivity,0.65,robust,1,2
ocran,pilotActivity,0.65,robust,2,5
ocran,pilotActivity,0.65,robust,3,4
ocran,pilotActivity,0.65,robust,4,1
ocran,pilotActivity,0.65,robust,8,3
