Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
pedro,sphereActivity,0.6,robust,1,2
pedro,sphereActivity,0.6,robust,3,2
pedro,sphereActivity,0.6,robust,4,3
xxx,sphereActivity,0.6,robust,1,4
xxx,sphereActivity,0.6,robust,2,2
xxx,sphereActivity,0.6,robust,3,2
xxx,sphereActivity,0.6,robust,4,4
xxx,sphereActivity,0.6,robust,5,2
xxx,sphereActivity,0.6,robust,6,5
slasto,sphereActivity,0.6,robust,2,4
slasto,sphereActivity,0.6,robust,3,2
slasto,sphereActivity,0.6,robust,4,6
slasto,sphereActivity,0.6,robust,6,4
slasto,sphereActivity,0.6,robust,7,7
slasto,sphereActivity,0.6,robust,8,7
minestra,sphereActivity,0.6,robust,1,2
minestra,sphereActivity,0.6,robust,2,1
minestra,sphereActivity,0.6,robust,3,2
minestra,sphereActivity,0.6,robust,4,3
minestra,sphereActivity,0.6,robust,5,1
minestra,sphereActivity,0.6,robust,6,2
dan,sphereActivity,0.6,robust,1,2
dan,sphereActivity,0.6,robust,2,3
dan,sphereActivity,0.6,robust,3,3
dan,sphereActivity,0.6,robust,4,2
dan,sphereActivity,0.6,robust,5,7
pabluccio,sphereActivity,0.6,robust,1,1
pabluccio,sphereActivity,0.6,robust,2,3
pabluccio,sphereActivity,0.6,robust,3,8
pabluccio,sphereActivity,0.6,robust,4,6
SADAX,sphereActivity,0.6,robust,1,4
SADAX,sphereActivity,0.6,robust,2,5
SADAX,sphereActivity,0.6,robust,3,4
Pa0l0l0,sphereActivity,0.6,robust,1,4
Pa0l0l0,sphereActivity,0.6,robust,2,4
Pa0l0l0,sphereActivity,0.6,robust,3,3
Pa0l0l0,sphereActivity,0.6,robust,4,4
Pa0l0l0,sphereActivity,0.6,robust,5,3
Pa0l0l0,sphereActivity,0.6,robust,6,4
peppe,sphereActivity,0.6,robust,1,2
peppe,sphereActivity,0.6,robust,2,1
peppe,sphereActivity,0.6,robust,3,1
bigw,sphereActivity,0.6,robust,1,6
bigw,sphereActivity,0.6,robust,2,3
bigw,sphereActivity,0.6,robust,3,2
bigw,sphereActivity,0.6,robust,4,3
bigw,sphereActivity,0.6,robust,5,2
bigw,sphereActivity,0.6,robust,7,5
qwe,sphereActivity,0.6,robust,1,1
qwe,sphereActivity,0.6,robust,2,6
qwe,sphereActivity,0.6,robust,3,4
qwe,sphereActivity,0.6,robust,4,6
qwe,sphereActivity,0.6,robust,6,8
ocran,sphereActivity,0.6,robust,1,5
ocran,sphereActivity,0.6,robust,2,4
ocran,sphereActivity,0.6,robust,3,5
grims,sphereActivity,0.6,robust,1,6
grims,sphereActivity,0.6,robust,2,3
grims,sphereActivity,0.6,robust,3,3
grims,sphereActivity,0.6,robust,4,2
grims,sphereActivity,0.6,robust,5,2
grims,sphereActivity,0.6,robust,6,4
grims2,sphereActivity,0.6,robust,1,1
grims2,sphereActivity,0.6,robust,2,2
grims2,sphereActivity,0.6,robust,3,5
grims2,sphereActivity,0.6,robust,4,1
grims2,sphereActivity,0.6,robust,5,3
grims2,sphereActivity,0.6,robust,6,3
grims2,sphereActivity,0.6,robust,7,5
grims2,sphereActivity,0.6,robust,8,1
grims2,sphereActivity,0.6,robust,9,2
grims2,sphereActivity,0.6,robust,10,3
