Username,Activity,Threshold,Scaler,LogNumber,NumberOfSegments
grims2,sphereActivity,0.6,standard,1,4
grims2,sphereActivity,0.6,standard,2,5
grims2,sphereActivity,0.6,standard,3,4
grims2,sphereActivity,0.6,standard,4,3
grims2,sphereActivity,0.6,standard,5,4
grims2,sphereActivity,0.6,standard,6,3
grims2,sphereActivity,0.6,standard,7,4
grims2,sphereActivity,0.6,standard,8,3
grims2,sphereActivity,0.6,standard,9,2
grims2,sphereActivity,0.6,standard,10,6
pedro,sphereActivity,0.6,standard,1,2
pedro,sphereActivity,0.6,standard,3,4
pedro,sphereActivity,0.6,standard,4,4
xxx,sphereActivity,0.6,standard,1,6
xxx,sphereActivity,0.6,standard,2,6
xxx,sphereActivity,0.6,standard,3,5
xxx,sphereActivity,0.6,standard,4,7
xxx,sphereActivity,0.6,standard,5,3
xxx,sphereActivity,0.6,standard,6,6
slasto,sphereActivity,0.6,standard,2,7
slasto,sphereActivity,0.6,standard,3,5
slasto,sphereActivity,0.6,standard,4,6
slasto,sphereActivity,0.6,standard,6,10
slasto,sphereActivity,0.6,standard,7,5
slasto,sphereActivity,0.6,standard,8,5
minestra,sphereActivity,0.6,standard,1,3
minestra,sphereActivity,0.6,standard,2,2
minestra,sphereActivity,0.6,standard,3,3
minestra,sphereActivity,0.6,standard,4,4
minestra,sphereActivity,0.6,standard,5,4
minestra,sphereActivity,0.6,standard,6,4
dan,sphereActivity,0.6,standard,1,2
dan,sphereActivity,0.6,standard,2,3
dan,sphereActivity,0.6,standard,3,4
dan,sphereActivity,0.6,standard,4,4
dan,sphereActivity,0.6,standard,5,9
pabluccio,sphereActivity,0.6,standard,1,1
pabluccio,sphereActivity,0.6,standard,2,7
pabluccio,sphereActivity,0.6,standard,3,6
pabluccio,sphereActivity,0.6,standard,4,5
SADAX,sphereActivity,0.6,standard,1,7
SADAX,sphereActivity,0.6,standard,2,7
SADAX,sphereActivity,0.6,standard,3,5
grims,sphereActivity,0.6,standard,1,4
grims,sphereActivity,0.6,standard,2,3
grims,sphereActivity,0.6,standard,3,4
grims,sphereActivity,0.6,standard,4,3
grims,sphereActivity,0.6,standard,5,4
grims,sphereActivity,0.6,standard,6,4
aaa,sphereActivity,0.6,standard,5,6
aaa,sphereActivity,0.6,standard,7,4
aaa,sphereActivity,0.6,standard,9,7
aaa,sphereActivity,0.6,standard,10,9
aaa,sphereActivity,0.6,standard,11,7
aaa,sphereActivity,0.6,standard,13,4
aaa,sphereActivity,0.6,standard,15,4
Pa0l0l0,sphereActivity,0.6,standard,1,3
Pa0l0l0,sphereActivity,0.6,standard,2,6
Pa0l0l0,sphereActivity,0.6,standard,3,3
Pa0l0l0,sphereActivity,0.6,standard,4,5
Pa0l0l0,sphereActivity,0.6,standard,5,3
Pa0l0l0,sphereActivity,0.6,standard,6,7
asss,sphereActivity,0.6,standard,1,4
asss,sphereActivity,0.6,standard,2,4
asss,sphereActivity,0.6,standard,3,4
asss,sphereActivity,0.6,standard,4,5
asss,sphereActivity,0.6,standard,11,4
asss,sphereActivity,0.6,standard,12,4
asss,sphereActivity,0.6,standard,13,4
asss,sphereActivity,0.6,standard,14,3
asss,sphereActivity,0.6,standard,15,5
asss,sphereActivity,0.6,standard,16,3
asss,sphereActivity,0.6,standard,17,4
asss,sphereActivity,0.6,standard,18,5
palma,sphereActivity,0.6,standard,1,6
palma,sphereActivity,0.6,standard,2,8
palma,sphereActivity,0.6,standard,3,6
palma,sphereActivity,0.6,standard,5,5
palma,sphereActivity,0.6,standard,6,5
palma,sphereActivity,0.6,standard,7,5
palma,sphereActivity,0.6,standard,9,5
palma,sphereActivity,0.6,standard,10,12
rkiper,sphereActivity,0.6,standard,1,4
rkiper,sphereActivity,0.6,standard,2,4
rkiper,sphereActivity,0.6,standard,3,5
rkiper,sphereActivity,0.6,standard,4,5
rkiper,sphereActivity,0.6,standard,5,4
rkiper,sphereActivity,0.6,standard,6,4
rkiper,sphereActivity,0.6,standard,7,3
rkiper,sphereActivity,0.6,standard,8,4
rkiper,sphereActivity,0.6,standard,9,5
rkiper,sphereActivity,0.6,standard,10,5
rkiper,sphereActivity,0.6,standard,11,4
rkiper,sphereActivity,0.6,standard,12,5
rkiper,sphereActivity,0.6,standard,13,7
peppe,sphereActivity,0.6,standard,1,5
peppe,sphereActivity,0.6,standard,2,2
peppe,sphereActivity,0.6,standard,3,10
bigw,sphereActivity,0.6,standard,1,2
bigw,sphereActivity,0.6,standard,2,8
bigw,sphereActivity,0.6,standard,3,4
bigw,sphereActivity,0.6,standard,4,4
bigw,sphereActivity,0.6,standard,5,3
bigw,sphereActivity,0.6,standard,7,4
qwe,sphereActivity,0.6,standard,1,6
qwe,sphereActivity,0.6,standard,2,5
qwe,sphereActivity,0.6,standard,3,7
qwe,sphereActivity,0.6,standard,4,10
qwe,sphereActivity,0.6,standard,6,8
ocran,sphereActivity,0.6,standard,1,4
ocran,sphereActivity,0.6,standard,2,3
ocran,sphereActivity,0.6,standard,3,4
